Group_Name,Name,,
BasicSoldiers1,Soldier_Axe,,
BasicSoldiers2,Soldier_Axe,Soldier_Shield,
SoldierWithWacher1,Soldier_Axe,Soldier_Shield,WacherA
SoldierWithWacher2,Soldier_Axe,Soldier_Spear,WacherA
SoldierWithWacher3,Soldier_Axe,Soldier_Shield,WacherB
SoldierWithWacher4,Soldier_Axe,Soldier_Spear,WacherB
StrongSoldier1,Soldier_Axe,WacherA,Devourer
StrongSoldier2,Soldier_Spear,WacherB,Devourer
StrongSoldier3,Soldier_Axe,Soldier_Shield,Devourer
StrongSoldier4,Soldier_Shield,Soldier_Shield,Devourer
DangerSoldier1,Devourer,Devourer,Devourer
DangerSoldier2,GiantSoldier,Devourer,Devourer
DangerSoldier3,GiantSoldier,GiantSoldier,Devourer
DangerSoldier4,GiantSoldier,GiantSoldier,GiantSoldier
Twins,Happy,Saddy,
